"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup"
1,26675553,"pianoclub (3/20)",0,242.75,"(C) Dwight Howard ,(PF) LaMarcus Aldridge ,(SG) Danny Green ,(UTIL) Robin Lopez ,(F) Nicolas Batum ,(G) Damian Lillard ,(PG) Isaiah Canaan ,(SF) Kawhi Leonard "
1,26677044,"CONDIA (1/20)",0,242.75,"(C) Dwight Howard ,(PF) LaMarcus Aldridge ,(SG) Danny Green ,(UTIL) Robin Lopez ,(F) Nicolas Batum ,(G) Damian Lillard ,(PG) Isaiah Canaan ,(SF) Kawhi Leonard "
3,26666164,"jimsox511 (1/20)",0,235.25,"(UTIL) Boris Diaw ,(C) Dwight Howard ,(PF) LaMarcus Aldridge ,(SG) Danny Green ,(SF) Nicolas Batum ,(PG) Damian Lillard ,(F) Kawhi Leonard ,(G) Cory Joseph "
4,26675533,"pianoclub (2/20)",0,233.00,"(PF) Boris Diaw ,(C) Dwight Howard ,(G) Danny Green ,(SG) James Harden ,(UTIL) Chandler Parsons ,(F) Nicolas Batum ,(PG) Isaiah Canaan ,(SF) Kawhi Leonard "
4,26675685,"psychoman (2/20)",0,233.00,"(PG) Jameer Nelson ,(PF) Boris Diaw ,(UTIL) Dwight Howard ,(SG) Danny Green ,(C) Robin Lopez ,(G) James Harden ,(F) Nicolas Batum ,(SF) Kawhi Leonard "
6,26695756,"NHsmitdogs (2/20)",0,230.75,"(PF) Dirk Nowitzki ,(C) Dwight Howard ,(SG) Danny Green ,(UTIL) Chandler Parsons ,(SF) Nicolas Batum ,(PG) Damian Lillard ,(G) Isaiah Canaan ,(F) Kawhi Leonard "
7,26683000,"skyhawks42 (1/20)",0,228.50,"(PF) Boris Diaw ,(C) Dwight Howard ,(G) Monta Ellis ,(SG) Wesley Matthews ,(UTIL) Danny Green ,(F) Nicolas Batum ,(PG) Damian Lillard ,(SF) Kawhi Leonard "
7,26683041,"skyhawks42 (2/20)",0,228.50,"(PF) Boris Diaw ,(C) Dwight Howard ,(G) Monta Ellis ,(SG) Wesley Matthews ,(UTIL) Danny Green ,(F) Nicolas Batum ,(PG) Damian Lillard ,(SF) Kawhi Leonard "
7,26683364,"skyhawks42 (3/20)",0,228.50,"(PF) Boris Diaw ,(C) Dwight Howard ,(G) Monta Ellis ,(SG) Wesley Matthews ,(UTIL) Danny Green ,(F) Nicolas Batum ,(PG) Damian Lillard ,(SF) Kawhi Leonard "
7,26694829,"srsjsn (1/20)",0,228.50,"(F) Boris Diaw ,(C) Dwight Howard ,(PF) LaMarcus Aldridge ,(SG) Wesley Matthews ,(UTIL) Danny Green ,(SF) Nicolas Batum ,(PG) Damian Lillard ,(G) Isaiah Canaan "
11,26694632,"zbestever (1/20)",0,227.75,"(PF) Dirk Nowitzki ,(UTIL) Dwight Howard ,(SG) Monta Ellis ,(G) Danny Green ,(C) Aron Baynes ,(SF) Chandler Parsons ,(PG) Damian Lillard ,(F) Kawhi Leonard "
12,26691730,"andersonn45 (3/20)",0,224.25,"(PG) Devin Harris ,(PF) Boris Diaw ,(C) Dwight Howard ,(SG) Danny Green ,(G) James Harden ,(SF) Nicolas Batum ,(F) Kawhi Leonard ,(UTIL) Kostas Papanikolaou "
13,26690161,"umaebitz (1/20)",0,224.00,"(UTIL) Dirk Nowitzki ,(PF) Boris Diaw ,(C) Dwight Howard ,(F) LaMarcus Aldridge ,(SG) Danny Green ,(G) Damian Lillard ,(PG) Isaiah Canaan ,(SF) Kawhi Leonard "
