Position,Name,Salary,GameInfo,AvgPointsPerGame,Included,PointsIncl,SalaryIncl,Points,0
PG,Stephen Curry,10400,GS@Por 09:00PM ET,58.375,0,0,0,Salary,0
PF,Blake Griffin,9800,Sac@LAC 03:30PM ET,44.5,0,0,0,,
PG,Chris Paul,9300,Sac@LAC 03:30PM ET,40.5,0,0,0,,
C,DeMarcus Cousins,9200,Sac@LAC 03:30PM ET,35.25,0,0,0,,
SF,Carmelo Anthony,9000,Cha@NY 07:30PM ET,30.5,0,0,0,,
C,Al Jefferson,9000,Cha@NY 07:30PM ET,40.25,0,0,0,,
C,Chris Bosh,8900,Tor@Mia 06:00PM ET,52.875,0,0,0,,
PF,LaMarcus Aldridge,8900,GS@Por 09:00PM ET,37.375,0,0,0,,
PG,Kyle Lowry,8300,Tor@Mia 06:00PM ET,39.125,0,0,0,,
PG,Kemba Walker,8100,Cha@NY 07:30PM ET,32.375,0,0,0,,
SG,DeMar DeRozan,7900,Tor@Mia 06:00PM ET,41.875,0,0,0,,
PG,Damian Lillard,7700,GS@Por 09:00PM ET,28.875,0,0,0,,
SF,Rudy Gay,7500,Sac@LAC 03:30PM ET,41.375,0,0,0,,
SG,Dwyane Wade,7300,Tor@Mia 06:00PM ET,30.75,0,0,0,,
SG,Klay Thompson,7200,GS@Por 09:00PM ET,43.625,0,0,0,,
PF,David Lee,7100,GS@Por 09:00PM ET,0,0,0,0,,
PG,Darren Collison,7100,Sac@LAC 03:30PM ET,42.75,0,0,0,,
SF,Nicolas Batum,7100,GS@Por 09:00PM ET,29.5,0,0,0,,
SG,Lance Stephenson,7100,Cha@NY 07:30PM ET,26.375,0,0,0,,
C,DeAndre Jordan,7000,Sac@LAC 03:30PM ET,28.125,0,0,0,,
PF,Amir Johnson,6500,Tor@Mia 06:00PM ET,30.625,0,0,0,,
SG,Wesley Matthews,6300,GS@Por 09:00PM ET,30.125,0,0,0,,
C,Jonas Valanciunas,6100,Tor@Mia 06:00PM ET,29.125,0,0,0,,
SF,Luol Deng,5900,Tor@Mia 06:00PM ET,23.25,0,0,0,,
C,Robin Lopez,5900,GS@Por 09:00PM ET,27.25,0,0,0,,
SF,Draymond Green,5800,GS@Por 09:00PM ET,24.875,0,0,0,,
SG,Jamal Crawford,5700,Sac@LAC 03:30PM ET,30.25,0,0,0,,
PF,Josh McRoberts,5600,Tor@Mia 06:00PM ET,5.75,0,0,0,,
PG,Jose Calderon,5600,Cha@NY 07:30PM ET,0,0,0,0,,
PG,Mario Chalmers,5600,Tor@Mia 06:00PM ET,27.75,0,0,0,,
SF,Michael Kidd-Gilchrist,5400,Cha@NY 07:30PM ET,32.75,0,0,0,,
C,Andrew Bogut,5100,GS@Por 09:00PM ET,22.125,0,0,0,,
SG,J.R. Smith,5000,Cha@NY 07:30PM ET,19,0,0,0,,
SF,Marvin Williams,4900,Cha@NY 07:30PM ET,20.125,0,0,0,,
SF,Terrence Ross,4900,Tor@Mia 06:00PM ET,22.5,0,0,0,,
SF,Andre Iguodala,4800,GS@Por 09:00PM ET,19.625,0,0,0,,
PG,Norris Cole,4700,Tor@Mia 06:00PM ET,26,0,0,0,,
PF,Amar'e Stoudemire,4600,Cha@NY 07:30PM ET,20.5,0,0,0,,
PF,Cody Zeller,4500,Cha@NY 07:30PM ET,13,0,0,0,,
SF,Matt Barnes,4200,Sac@LAC 03:30PM ET,14.5,0,0,0,,
SG,J.J. Redick,4200,Sac@LAC 03:30PM ET,15.875,0,0,0,,
PF,Andrea Bargnani,4200,Cha@NY 07:30PM ET,0,0,0,0,,
PF,Patrick Patterson,4200,Tor@Mia 06:00PM ET,19.375,0,0,0,,
SF,Harrison Barnes,4200,GS@Por 09:00PM ET,22,0,0,0,,
C,Spencer Hawes,4100,Sac@LAC 03:30PM ET,14,0,0,0,,
SG,Ben McLemore,4000,Sac@LAC 03:30PM ET,9,0,0,0,,
PG,Greivis Vasquez,3800,Tor@Mia 06:00PM ET,16.125,0,0,0,,
SG,Iman Shumpert,3800,Cha@NY 07:30PM ET,17.5,0,0,0,,
C,Chris Kaman,3600,GS@Por 09:00PM ET,23.5,0,0,0,,
PF,Marreese Speights,3600,GS@Por 09:00PM ET,14.75,0,0,0,,
SF,Shawne Williams,3500,Tor@Mia 06:00PM ET,23.75,0,0,0,,
PG,Shaun Livingston,3400,GS@Por 09:00PM ET,4.75,0,0,0,,
PF,Jason Thompson,3400,Sac@LAC 03:30PM ET,10.875,0,0,0,,
SG,Gerald Henderson,3400,Cha@NY 07:30PM ET,8.75,0,0,0,,
PF,Quincy Acy,3400,Cha@NY 07:30PM ET,20.25,0,0,0,,
C,Chris Andersen,3300,Tor@Mia 06:00PM ET,12.875,0,0,0,,
SF,James Johnson,3300,Tor@Mia 06:00PM ET,12.625,0,0,0,,
PG,Steve Blake,3200,GS@Por 09:00PM ET,17,0,0,0,,
SG,Tim Hardaway Jr.,3200,Cha@NY 07:30PM ET,5.25,0,0,0,,
PG,Shabazz Napier,3200,Tor@Mia 06:00PM ET,15.5,0,0,0,,
SG,Nik Stauskas,3200,Sac@LAC 03:30PM ET,7,0,0,0,,
SG,Gary Neal,3100,Cha@NY 07:30PM ET,18,0,0,0,,
SF,Hedo Turkoglu,3000,Sac@LAC 03:30PM ET,6.25,0,0,0,,
C,Samuel Dalembert,3000,Cha@NY 07:30PM ET,11,0,0,0,,
PF,Chuck Hayes,3000,Tor@Mia 06:00PM ET,0,0,0,0,,
PF,Jason Maxiell,3000,Cha@NY 07:30PM ET,4.125,0,0,0,,
