"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"SF","LeBron James",10700,"Cle@Uta 09:00PM ET",39.500
"PG","Stephen Curry",10200,"LAC@GS 10:30PM ET",52.000
"PF","Blake Griffin",10100,"LAC@GS 10:30PM ET",43.688
"C","DeMarcus Cousins",9900,"Den@Sac 10:00PM ET",42.750
"PG","Chris Paul",9600,"LAC@GS 10:30PM ET",46.438
"PF","Kevin Love",9200,"Cle@Uta 09:00PM ET",44.333
"C","Marc Gasol",8000,"Mem@Pho 09:00PM ET",41.125
"SF","Rudy Gay",7700,"Den@Sac 10:00PM ET",38.500
"SG","Klay Thompson",7600,"LAC@GS 10:30PM ET",42.500
"SF","Gordon Hayward",7600,"Cle@Uta 09:00PM ET",38.438
"PF","Derrick Favors",7600,"Cle@Uta 09:00PM ET",35.125
"PF","Zach Randolph",7500,"Mem@Pho 09:00PM ET",40.063
"PF","Kenneth Faried",7400,"Den@Sac 10:00PM ET",32.750
"PG","Kyrie Irving",7300,"Cle@Uta 09:00PM ET",30.083
"SG","Eric Bledsoe",7200,"Mem@Pho 09:00PM ET",27.688
"PG","Ty Lawson",7100,"Den@Sac 10:00PM ET",24.833
"PG","Darren Collison",7000,"Den@Sac 10:00PM ET",37.188
"C","DeAndre Jordan",6900,"LAC@GS 10:30PM ET",25.188
"PF","David Lee",6400,"LAC@GS 10:30PM ET",0
"PG","Mike Conley",6400,"Mem@Pho 09:00PM ET",27.375
"PG","Goran Dragic",6000,"Mem@Pho 09:00PM ET",22.063
"PF","Markieff Morris",6000,"Mem@Pho 09:00PM ET",33.688
"SG","Jamal Crawford",5600,"LAC@GS 10:30PM ET",31.167
"SG","Arron Afflalo",5500,"Den@Sac 10:00PM ET",23.417
"PG","Isaiah Thomas",5500,"Mem@Pho 09:00PM ET",31.063
"PG","Trey Burke",5500,"Cle@Uta 09:00PM ET",23.000
"C","Andrew Bogut",5400,"LAC@GS 10:30PM ET",26.917
"SG","Alec Burks",5400,"Cle@Uta 09:00PM ET",24.250
"PF","Tristan Thompson",5400,"Cle@Uta 09:00PM ET",23.417
"SF","Draymond Green",5000,"LAC@GS 10:30PM ET",23.583
"C","Timofey Mozgov",5000,"Den@Sac 10:00PM ET",22.250
"SG","J.J. Redick",4800,"LAC@GS 10:30PM ET",16.000
