Position,Name,Salary,GameInfo,AvgPointsPerGame
SG,James Harden,10600,Hou@OKC 07:00PM ET,50.306
PG,Stephen Curry,10500,GS@LAL 09:30PM ET,46.472
C,Dwight Howard,9100,Hou@OKC 07:00PM ET,44.094
SG,Kobe Bryant,8700,GS@LAL 09:30PM ET,41.139
C,Chris Bosh,8500,Mil@Mia 06:00PM ET,40.833
PG,Reggie Jackson,8100,Hou@OKC 07:00PM ET,41.214
PF,Serge Ibaka,7500,Hou@OKC 07:00PM ET,31.65
SG,Dwyane Wade,7400,Mil@Mia 06:00PM ET,36.688
SG,Klay Thompson,7100,GS@LAL 09:30PM ET,37.688
PG,Brandon Knight,7100,Mil@Mia 06:00PM ET,37.583
C,Jordan Hill,7000,GS@LAL 09:30PM ET,31.306
PF,Draymond Green,6800,GS@LAL 09:30PM ET,30.556
PF,Carlos Boozer,6500,GS@LAL 09:30PM ET,24.806
C,Andrew Bogut,6400,GS@LAL 09:30PM ET,29.583
SF,Trevor Ariza,6300,Hou@OKC 07:00PM ET,30.806
SF,Luol Deng,6200,Mil@Mia 06:00PM ET,25.472
PG,Jeremy Lin,6200,GS@LAL 09:30PM ET,24.944
PF,Terrence Jones,6000,Hou@OKC 07:00PM ET,31.25
SG,Jeremy Lamb,5800,Hou@OKC 07:00PM ET,26.95
PF,David Lee,5600,GS@LAL 09:30PM ET,5.5
SG,Giannis Antetokounmpo,5300,Mil@Mia 06:00PM ET,21.556
PG,Mario Chalmers,5200,Mil@Mia 06:00PM ET,23.583
C,Steven Adams,5100,Hou@OKC 07:00PM ET,21.65
C,Larry Sanders,4800,Mil@Mia 06:00PM ET,23.5
SF,Harrison Barnes,4800,GS@LAL 09:30PM ET,21.361
PG,Patrick Beverley,4500,Hou@OKC 07:00PM ET,19.917
SF,Jabari Parker,4500,Mil@Mia 06:00PM ET,21
SF,Shawne Williams,4400,Mil@Mia 06:00PM ET,23.139
PG,Norris Cole,4200,Mil@Mia 06:00PM ET,18.639
SG,Anthony Morrow,4100,Hou@OKC 07:00PM ET,21.833
PF,Josh McRoberts,4000,Mil@Mia 06:00PM ET,7.321
SF,Donatas Motiejunas,4000,Hou@OKC 07:00PM ET,15.25
