"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"PF","Anthony Davis",11200,"NO@Atl 07:30PM ET",53.423
"C","DeMarcus Cousins",10600,"Sac@SA 08:30PM ET",47.517
"SG","James Harden",10400,"LAC@Hou 08:00PM ET",48.567
"SF","Kevin Durant",10300,"NY@OKC 08:00PM ET",0
"PG","Chris Paul",9600,"LAC@Hou 08:00PM ET",44.839
"PG","Stephen Curry",9500,"GS@Cha 07:00PM ET",47.446
"SF","Carmelo Anthony",9400,"NY@OKC 08:00PM ET",36.583
"PF","Blake Griffin",9300,"LAC@Hou 08:00PM ET",38.036
"SG","Kobe Bryant",9200,"Min@LAL 10:30PM ET",40.967
"PF","Paul Millsap",9100,"NO@Atl 07:30PM ET",37.731
"PF","LaMarcus Aldridge",9100,"Mem@Por 10:00PM ET",39.929
"C","Dwight Howard",9000,"LAC@Hou 08:00PM ET",40.475
"PG","Russell Westbrook",8900,"NY@OKC 08:00PM ET",32.375
"PG","Damian Lillard",8900,"Mem@Por 10:00PM ET",39.467
"C","Nikola Vucevic",8800,"Orl@Ind 08:00PM ET",40.618
"C","Marc Gasol",8700,"Mem@Por 10:00PM ET",39.600
"PG","Ty Lawson",8600,"Pho@Den 09:00PM ET",37.446
"PG","Kyle Lowry",8400,"Dal@Tor 07:30PM ET",37.467
"C","Al Jefferson",8200,"GS@Cha 07:00PM ET",36.609
"SG","Monta Ellis",8000,"Dal@Tor 07:30PM ET",31.859
"PF","Tim Duncan",7900,"Sac@SA 08:30PM ET",36.442
"PF","Zach Randolph",7900,"Mem@Por 10:00PM ET",34.800
"PG","Rajon Rondo",7800,"Chi@Bos 01:00PM ET",38.705
"PG","Reggie Jackson",7700,"NY@OKC 08:00PM ET",40.038
"SG","Eric Bledsoe",7700,"Pho@Den 09:00PM ET",32.594
"PF","Pau Gasol",7600,"Chi@Bos 01:00PM ET",41.292
"SF","Rudy Gay",7500,"Sac@SA 08:30PM ET",37.173
"PG","Mike Conley",7500,"Mem@Por 10:00PM ET",31.617
"SG","Jimmy Butler",7400,"Chi@Bos 01:00PM ET",37.635
"PG","Kemba Walker",7400,"GS@Cha 07:00PM ET",32.125
"PG","Ricky Rubio",7400,"Min@LAL 10:30PM ET",32.700
"PF","Jared Sullinger",7400,"Chi@Bos 01:00PM ET",34.354
"C","DeAndre Jordan",7300,"LAC@Hou 08:00PM ET",29.929
"SG","Klay Thompson",7300,"GS@Cha 07:00PM ET",35.077
"PG","Brandon Jennings",7300,"Mil@Det 07:30PM ET",30.904
"C","Andre Drummond",7300,"Mil@Det 07:30PM ET",29.433
"PG","Jrue Holiday",7200,"NO@Atl 07:30PM ET",32.115
"C","Roy Hibbert",7100,"Orl@Ind 08:00PM ET",31.115
"PF","Serge Ibaka",7100,"NY@OKC 08:00PM ET",32.297
"SG","DeMar DeRozan",7100,"Dal@Tor 07:30PM ET",32.350
"PG","Brandon Knight",7100,"Mil@Det 07:30PM ET",35.672
"PF","David Lee",7000,"GS@Cha 07:00PM ET",5.500
"C","Al Horford",7000,"NO@Atl 07:30PM ET",29.250
"PG","Jeff Teague",7000,"NO@Atl 07:30PM ET",34.500
"SG","Tyreke Evans",7000,"NO@Atl 07:30PM ET",34.519
"SF","Kawhi Leonard",7000,"Sac@SA 08:30PM ET",31.558
"SF","Tobias Harris",7000,"Orl@Ind 08:00PM ET",35.383
"PF","Dirk Nowitzki",6800,"Dal@Tor 07:30PM ET",32.547
"PG","Darren Collison",6800,"Sac@SA 08:30PM ET",34.458
"PG","Tony Parker",6700,"Sac@SA 08:30PM ET",27.946
"PF","Thaddeus Young",6700,"Min@LAL 10:30PM ET",25.469
"PF","Greg Monroe",6700,"Mil@Det 07:30PM ET",31.154
"PF","Markieff Morris",6700,"Pho@Den 09:00PM ET",31.219
"SG","Lance Stephenson",6700,"GS@Cha 07:00PM ET",29.250
"PF","David West",6600,"Orl@Ind 08:00PM ET",0
"SF","Josh Smith",6600,"Mil@Det 07:30PM ET",32.450
"SF","Jeff Green",6600,"Chi@Bos 01:00PM ET",31.688
"C","Jordan Hill",6600,"Min@LAL 10:30PM ET",31.583
"PG","Goran Dragic",6600,"Pho@Den 09:00PM ET",24.469
"C","Gorgui Dieng",6600,"Min@LAL 10:30PM ET",23.865
"C","Joakim Noah",6500,"Chi@Bos 01:00PM ET",29.333
"SG","Victor Oladipo",6500,"Orl@Ind 08:00PM ET",25.781
"PG","Derrick Rose",6400,"Chi@Bos 01:00PM ET",27.107
"SF","Chandler Parsons",6400,"Dal@Tor 07:30PM ET",26.156
"SF","Nicolas Batum",6400,"Mem@Por 10:00PM ET",27.773
"PF","Terrence Jones",6300,"LAC@Hou 08:00PM ET",31.250
"C","Tyson Chandler",6000,"Dal@Tor 07:30PM ET",30.250
"SF","Trevor Ariza",6000,"LAC@Hou 08:00PM ET",28.450
"SG","Wesley Matthews",6000,"Mem@Por 10:00PM ET",27.767
"PF","Ryan Anderson",6000,"NO@Atl 07:30PM ET",25.577
"SF","Draymond Green",6000,"GS@Cha 07:00PM ET",29.607
"PF","Carlos Boozer",5900,"Min@LAL 10:30PM ET",23.786
"C","Andrew Bogut",5900,"GS@Cha 07:00PM ET",29.107
"SG","J.R. Smith",5900,"NY@OKC 08:00PM ET",20.100
"PG","George Hill",5900,"Orl@Ind 08:00PM ET",0
"C","Jonas Valanciunas",5900,"Dal@Tor 07:30PM ET",25.536
"SG","Giannis Antetokounmpo",5900,"Mil@Det 07:30PM ET",23.609
"SF","Wilson Chandler",5800,"Pho@Den 09:00PM ET",25.500
"PF","Kenneth Faried",5800,"Pho@Den 09:00PM ET",23.950
"C","Kelly Olynyk",5800,"Chi@Bos 01:00PM ET",24.896
"C","Robin Lopez",5700,"Mem@Por 10:00PM ET",26.600
"PF","Taj Gibson",5700,"Chi@Bos 01:00PM ET",25.458
"C","Timofey Mozgov",5700,"Pho@Den 09:00PM ET",23.583
"SF","Jabari Parker",5700,"Mil@Det 07:30PM ET",23.734
"SG","Arron Afflalo",5600,"Pho@Den 09:00PM ET",21.717
"PG","Isaiah Thomas",5600,"Pho@Den 09:00PM ET",26.167
"PG","Marcus Smart",5600,"Chi@Bos 01:00PM ET",15.050
"SG","Jamal Crawford",5500,"LAC@Hou 08:00PM ET",28.577
"PG","Raymond Felton",5500,"Dal@Tor 07:30PM ET",0
"SG","Kyle Korver",5400,"NO@Atl 07:30PM ET",25.731
"PF","Luis Scola",5300,"Orl@Ind 08:00PM ET",22.067
"SF","Corey Brewer",5300,"Min@LAL 10:30PM ET",21.481
"PG","Jeremy Lin",5300,"Min@LAL 10:30PM ET",24.900
"PF","Channing Frye",5200,"Orl@Ind 08:00PM ET",20.781
"PF","Amar'e Stoudemire",5200,"NY@OKC 08:00PM ET",24.167
"PG","Donald Sloan",5200,"Orl@Ind 08:00PM ET",26.483
"SG","Evan Fournier",5200,"Orl@Ind 08:00PM ET",24.000
"PF","Boris Diaw",5100,"Sac@SA 08:30PM ET",22.018
"SG","Manu Ginobili",5000,"Sac@SA 08:30PM ET",22.788
"PF","Amir Johnson",5000,"Dal@Tor 07:30PM ET",20.313
"PG","Patrick Beverley",5000,"LAC@Hou 08:00PM ET",24.643
"SG","Iman Shumpert",5000,"NY@OKC 08:00PM ET",24.033
"SF","Omri Casspi",5000,"Sac@SA 08:30PM ET",15.733
"SF","Solomon Hill",5000,"Orl@Ind 08:00PM ET",23.533
"SF","Andrew Wiggins",5000,"Min@LAL 10:30PM ET",21.769
"PG","Jameer Nelson",4900,"Dal@Tor 07:30PM ET",19.233
"SF","DeMarre Carroll",4900,"NO@Atl 07:30PM ET",24.500
"PG","Lou Williams",4900,"Dal@Tor 07:30PM ET",20.800
"C","Nikola Pekovic",4900,"Min@LAL 10:30PM ET",24.806
"SF","Harrison Barnes",4900,"GS@Cha 07:00PM ET",22.339
"SG","Kevin Martin",4800,"Min@LAL 10:30PM ET",29.694
"SF","Chris Copeland",4800,"Orl@Ind 08:00PM ET",21.500
"PF","Ersan Ilyasova",4800,"Mil@Det 07:30PM ET",16.266
"PG","Jose Calderon",4800,"NY@OKC 08:00PM ET",25.667
"SF","Danilo Gallinari",4800,"Pho@Den 09:00PM ET",14.450
"SG","Tim Hardaway Jr.",4800,"NY@OKC 08:00PM ET",12.141
"PF","Nikola Mirotic",4800,"Chi@Bos 01:00PM ET",14.133
"PG","Elfrid Payton",4800,"Orl@Ind 08:00PM ET",19.765
"C","Chris Kaman",4700,"Mem@Por 10:00PM ET",22.417
"PG","Mo Williams",4700,"Min@LAL 10:30PM ET",20.563
"PG","Ramon Sessions",4700,"Sac@SA 08:30PM ET",11.232
"SG","Gerald Green",4700,"Pho@Den 09:00PM ET",22.297
"PF","Brandan Wright",4700,"Dal@Tor 07:30PM ET",20.578
"PF","Marreese Speights",4700,"GS@Cha 07:00PM ET",18.942
"PF","Marcus Morris",4700,"Pho@Den 09:00PM ET",18.672
"SG","Avery Bradley",4700,"Chi@Bos 01:00PM ET",20.563
"SF","P.J. Tucker",4600,"Pho@Den 09:00PM ET",20.604
"SG","Danny Green",4600,"Sac@SA 08:30PM ET",22.857
"C","Miles Plumlee",4600,"Pho@Den 09:00PM ET",17.438
"SF","Mike Dunleavy",4500,"Chi@Bos 01:00PM ET",21.417
"SF","Tony Allen",4500,"Mem@Por 10:00PM ET",19.327
"C","Tiago Splitter",4500,"Sac@SA 08:30PM ET",14.500
"SG","O.J. Mayo",4500,"Mil@Det 07:30PM ET",21.250
"SG","Andre Roberson",4500,"NY@OKC 08:00PM ET",16.844
"SF","Terrence Ross",4500,"Dal@Tor 07:30PM ET",18.767
"SG","Jeremy Lamb",4500,"NY@OKC 08:00PM ET",23.523
"PG","D.J. Augustin",4400,"Mil@Det 07:30PM ET",18.383
"C","Spencer Hawes",4400,"LAC@Hou 08:00PM ET",16.125
"SF","Donatas Motiejunas",4400,"LAC@Hou 08:00PM ET",18.550
"C","Steven Adams",4400,"NY@OKC 08:00PM ET",20.969
"SF","Shabazz Muhammad",4400,"Min@LAL 10:30PM ET",12.865
"PF","Anthony Bennett",4400,"Min@LAL 10:30PM ET",16.417
"C","Samuel Dalembert",4300,"NY@OKC 08:00PM ET",15.203
"SG","Courtney Lee",4300,"Mem@Por 10:00PM ET",23.979
"SG","Gerald Henderson",4300,"GS@Cha 07:00PM ET",12.464
"SF","Evan Turner",4300,"Chi@Bos 01:00PM ET",18.938
"C","Omer Asik",4300,"NO@Atl 07:30PM ET",25.694
"PF","Ed Davis",4300,"Min@LAL 10:30PM ET",21.150
"SG","Ben McLemore",4300,"Sac@SA 08:30PM ET",18.200
"SG","Thabo Sefolosha",4200,"NO@Atl 07:30PM ET",17.250
"SG","Marco Belinelli",4200,"Sac@SA 08:30PM ET",12.333
"SG","Eric Gordon",4200,"NO@Atl 07:30PM ET",18.125
"PG","Isaiah Canaan",4200,"LAC@Hou 08:00PM ET",16.731
"PG","Zach LaVine",4200,"Min@LAL 10:30PM ET",13.625
"PF","Aaron Gordon",4200,"Orl@Ind 08:00PM ET",11.841
"SF","Andre Iguodala",4100,"GS@Cha 07:00PM ET",16.286
"PG","Aaron Brooks",4100,"Chi@Bos 01:00PM ET",18.700
"SG","Nick Young",4100,"Min@LAL 10:30PM ET",19.150
"SG","Rodney Stuckey",4100,"Orl@Ind 08:00PM ET",20.000
"PF","Patrick Patterson",4100,"Dal@Tor 07:30PM ET",18.200
"C","Larry Sanders",4100,"Mil@Det 07:30PM ET",22.383
"SF","Perry Jones",4100,"NY@OKC 08:00PM ET",22.350
"PG","Kirk Hinrich",4000,"Chi@Bos 01:00PM ET",19.692
"PG","Devin Harris",4000,"Dal@Tor 07:30PM ET",19.518
"SF","Matt Barnes",4000,"LAC@Hou 08:00PM ET",13.313
"PF","Brandon Bass",4000,"Chi@Bos 01:00PM ET",15.313
"SG","Anthony Morrow",4000,"NY@OKC 08:00PM ET",20.528
"PF","Andrea Bargnani",4000,"NY@OKC 08:00PM ET",0
"SF","Wesley Johnson",4000,"Min@LAL 10:30PM ET",17.083
"SF","Khris Middleton",4000,"Mil@Det 07:30PM ET",16.346
"PF","Tarik Black",4000,"LAC@Hou 08:00PM ET",10.231
"PF","Cody Zeller",4000,"GS@Cha 07:00PM ET",17.984
"SF","Michael Kidd-Gilchrist",4000,"GS@Cha 07:00PM ET",20.458
"PG","Brian Roberts",3900,"GS@Cha 07:00PM ET",13.172
"SF","Maurice Harkless",3900,"Orl@Ind 08:00PM ET",10.438
"SG","J.J. Redick",3800,"LAC@Hou 08:00PM ET",17.696
"PG","J.J. Barea",3800,"Dal@Tor 07:30PM ET",17.933
"PF","Jason Thompson",3800,"Sac@SA 08:30PM ET",14.867
"C","Ian Mahinmi",3800,"Orl@Ind 08:00PM ET",14.750
"SF","Derrick Williams",3800,"Sac@SA 08:30PM ET",6.273
"SG","Kentavious Caldwell-Pope",3800,"Mil@Det 07:30PM ET",18.867
"SF","Kostas Papanikolaou",3800,"LAC@Hou 08:00PM ET",18.933
"SG","Vince Carter",3700,"Mem@Por 10:00PM ET",12.232
"SF","Marvin Williams",3700,"GS@Cha 07:00PM ET",13.266
"SG","Jodie Meeks",3700,"Mil@Det 07:30PM ET",0
"C","J.J. Hickson",3700,"Pho@Den 09:00PM ET",17.714
"C","Kyle O'Quinn",3700,"Orl@Ind 08:00PM ET",20.875
"C","Zaza Pachulia",3600,"Mil@Det 07:30PM ET",16.850
"SF","C.J. Miles",3600,"Orl@Ind 08:00PM ET",13.063
"PF","Mike Scott",3600,"NO@Atl 07:30PM ET",13.417
"C","Lavoy Allen",3600,"Orl@Ind 08:00PM ET",20.717
"PG","Austin Rivers",3600,"NO@Atl 07:30PM ET",14.731
"SG","P.J. Hairston",3600,"GS@Cha 07:00PM ET",9.194
"PG","Shane Larkin",3600,"NY@OKC 08:00PM ET",14.183
"SF","Caron Butler",3500,"Mil@Det 07:30PM ET",14.767
"SF","James Johnson",3500,"Dal@Tor 07:30PM ET",17.833
"PG","Shelvin Mack",3400,"NO@Atl 07:30PM ET",10.292
"PG","Ray McCallum",3400,"Sac@SA 08:30PM ET",5.350
"SG","Quincy Pondexter",3300,"Mem@Por 10:00PM ET",9.596
"PG","Greivis Vasquez",3300,"Dal@Tor 07:30PM ET",16.183
"C","JaVale McGee",3300,"Pho@Den 09:00PM ET",11.365
"C","Robert Sacre",3300,"Min@LAL 10:30PM ET",9.196
"PF","Carl Landry",3200,"Sac@SA 08:30PM ET",15.150
"SF","Kyle Singler",3200,"Mil@Det 07:30PM ET",11.517
"PF","John Henson",3200,"Mil@Det 07:30PM ET",10.607
"PG","C.J. Watson",3100,"Orl@Ind 08:00PM ET",0
"PG","Pablo Prigioni",3100,"NY@OKC 08:00PM ET",14.875
"C","Alex Len",3100,"Pho@Den 09:00PM ET",15.484
"C","Nazr Mohammed",3000,"Chi@Bos 01:00PM ET",8.833
"C","Elton Brand",3000,"NO@Atl 07:30PM ET",8.375
"SG","Jason Terry",3000,"LAC@Hou 08:00PM ET",13.583
"SF","Hedo Turkoglu",3000,"LAC@Hou 08:00PM ET",6.825
"SF","Richard Jefferson",3000,"Dal@Tor 07:30PM ET",7.404
"SF","Gerald Wallace",3000,"Chi@Bos 01:00PM ET",2.700
"PF","Matt Bonner",3000,"Sac@SA 08:30PM ET",11.125
"C","Nick Collison",3000,"NY@OKC 08:00PM ET",13.688
"PG","Steve Blake",3000,"Mem@Por 10:00PM ET",15.550
"SG","Willie Green",3000,"Orl@Ind 08:00PM ET",7.673
"PG","Luke Ridnour",3000,"Orl@Ind 08:00PM ET",11.550
"PF","Chuck Hayes",3000,"Dal@Tor 07:30PM ET",7.333
"SG","Ben Gordon",3000,"Orl@Ind 08:00PM ET",10.071
"PF","Jason Maxiell",3000,"GS@Cha 07:00PM ET",5.404
"PG","Ronnie Price",3000,"Min@LAL 10:30PM ET",14.643
"PF","Ronny Turiaf",3000,"Min@LAL 10:30PM ET",2.125
"SF","Tayshaun Prince",3000,"Mem@Por 10:00PM ET",11.667
"SF","John Salmons",3000,"NO@Atl 07:30PM ET",2.607
"PG","Jannero Pargo",3000,"GS@Cha 07:00PM ET",6.313
"PF","Shavlik Randolph",3000,"Pho@Den 09:00PM ET",2.969
"SG","Randy Foye",3000,"Pho@Den 09:00PM ET",14.659
"PG","Nate Robinson",3000,"Pho@Den 09:00PM ET",11.700
"PF","Reggie Evans",3000,"Sac@SA 08:30PM ET",12.056
"SG","Gary Neal",3000,"GS@Cha 07:00PM ET",19.096
"SF","Francisco Garcia",3000,"LAC@Hou 08:00PM ET",7.667
"C","Ryan Hollins",3000,"Sac@SA 08:30PM ET",2.042
"C","Kendrick Perkins",3000,"NY@OKC 08:00PM ET",14.172
"PG","Leandro Barbosa",3000,"GS@Cha 07:00PM ET",12.538
"SF","Cartier Martin",3000,"Mil@Det 07:30PM ET",0.000
"PF","Charlie Villanueva",3000,"Dal@Tor 07:30PM ET",4.028
"PF","Anthony Tolliver",3000,"Pho@Den 09:00PM ET",6.661
"SF","Jared Dudley",3000,"Mil@Det 07:30PM ET",9.922
"PG","Shaun Livingston",3000,"GS@Cha 07:00PM ET",10.071
"PG","Sebastian Telfair",3000,"NY@OKC 08:00PM ET",16.188
"SF","Dorell Wright",3000,"Mem@Por 10:00PM ET",5.964
