Position,Name,Salary,GameInfo,AvgPointsPerGame
PG,Chris Paul,10100,Min@LAC 10:30PM ET,43.797
PG,John Wall,9900,Mia@Was 07:00PM ET,42.017
PF,Blake Griffin,9800,Min@LAC 10:30PM ET,38.563
PG,Ty Lawson,9100,Den@Uta 09:00PM ET,37.133
C,Chris Bosh,8800,Mia@Was 07:00PM ET,39.867
PF,Tim Duncan,8600,SA@Phi 07:00PM ET,36.554
SF,Gordon Hayward,8100,Den@Uta 09:00PM ET,35.691
PG,Michael Carter-Williams,8000,SA@Phi 07:00PM ET,32.25
SF,Kawhi Leonard,7500,SA@Phi 07:00PM ET,32.375
PG,Ricky Rubio,7400,Min@LAC 10:30PM ET,32.7
C,DeAndre Jordan,7300,Min@LAC 10:30PM ET,29.891
PF,Derrick Favors,7300,Den@Uta 09:00PM ET,32.529
PG,Tony Parker,7200,SA@Phi 07:00PM ET,28.833
SG,Dwyane Wade,7200,Mia@Was 07:00PM ET,36.688
C,Marcin Gortat,6700,Mia@Was 07:00PM ET,30.217
PF,Thaddeus Young,6700,Min@LAC 10:30PM ET,25.444
C,Gorgui Dieng,6700,Min@LAC 10:30PM ET,23.929
PG,Mario Chalmers,6600,Mia@Was 07:00PM ET,28.2
SG,Alec Burks,6200,Den@Uta 09:00PM ET,24.132
SF,Corey Brewer,5800,Min@LAC 10:30PM ET,22.464
SF,Wilson Chandler,5800,Den@Uta 09:00PM ET,25.422
PF,Kenneth Faried,5800,Den@Uta 09:00PM ET,23.906
PG,Tony Wroten,5800,SA@Phi 07:00PM ET,34.5
SG,Arron Afflalo,5700,Den@Uta 09:00PM ET,22.141
C,Timofey Mozgov,5700,Den@Uta 09:00PM ET,23.469
C,Enes Kanter,5700,Den@Uta 09:00PM ET,22.25
SG,Bradley Beal,5700,Mia@Was 07:00PM ET,25.625
SG,Jamal Crawford,5600,Min@LAC 10:30PM ET,28.633
PG,Trey Burke,5600,Den@Uta 09:00PM ET,24.235
PF,Nerlens Noel,5600,SA@Phi 07:00PM ET,23.446
SF,Luol Deng,5500,Mia@Was 07:00PM ET,25.786
SF,Paul Pierce,5400,Mia@Was 07:00PM ET,25.433
SF,K.J. McDaniels,5400,SA@Phi 07:00PM ET,19.484
PG,Mo Williams,5300,Min@LAC 10:30PM ET,22.808
SF,Danilo Gallinari,5100,Den@Uta 09:00PM ET,15.141
C,Henry Sims,5100,SA@Phi 07:00PM ET,20.859
PF,Nene Hilario,5000,Mia@Was 07:00PM ET,22.545
PF,Boris Diaw,5000,SA@Phi 07:00PM ET,21.917
SG,Danny Green,5000,SA@Phi 07:00PM ET,23.15
SF,Andrew Wiggins,5000,Min@LAC 10:30PM ET,21.018
SG,Manu Ginobili,4900,SA@Phi 07:00PM ET,22.786
C,Nikola Pekovic,4900,Min@LAC 10:30PM ET,24.806
PF,Kris Humphries,4700,Mia@Was 07:00PM ET,15.643
C,Tiago Splitter,4500,SA@Phi 07:00PM ET,14.5
PG,Shabazz Napier,4400,Mia@Was 07:00PM ET,15.783
