"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup"
1,30055709,"21natedawg21",0,293.25,"(PG) Rajon Rondo,(SG) Victor Oladipo,(SF) Jeff Green,(PF) Anthony Davis,(C) Alex Len,(PF) Nerlens Noel,(PG) Ty Lawson,(SG) Arron Afflalo"
1,30055715,"21natedawg21",0,293.25,"(PG) Rajon Rondo,(SG) Victor Oladipo,(SF) Jeff Green,(PF) Anthony Davis,(C) Alex Len,(PF) Nerlens Noel,(PG) Ty Lawson,(SG) Arron Afflalo"
1,30055832,"21natedawg21",0,293.25,"(PG) Rajon Rondo,(SG) Victor Oladipo,(SF) Jeff Green,(PF) Anthony Davis,(C) Alex Len,(PF) Nerlens Noel,(PG) Ty Lawson,(SG) Arron Afflalo"
4,30016274,"labo2000",0,275.00,"(PG) Ty Lawson,(SG) Victor Oladipo,(SF) Tony Allen,(PF) Nerlens Noel,(C) Nikola Vucevic,(PF) Jared Sullinger,(PG) Rajon Rondo,(PF) Markieff Morris"
4,30054634,"Dinkpiece",0,275.00,"(PG) Rajon Rondo,(SG) Tyreke Evans,(SF) Tony Allen,(PF) Nerlens Noel,(C) Nikola Vucevic,(PF) Anthony Davis,(PG) Mario Chalmers,(PG) Cory Joseph"
6,29942841,"CONDIA",4,274.25,"(PG) Mario Chalmers,(SG) Gerald Henderson,(SF) Shawne Williams,(PF) Kevin Love,(C) Nikola Vucevic,(SF) Kawhi Leonard,(PG) Damian Lillard,(PF) Taj Gibson"
7,30011126,"LWally9",0,271.50,"(PG) Rajon Rondo,(SG) Tyreke Evans,(SF) Shawne Williams,(PF) Nerlens Noel,(C) Andre Drummond,(PF) Anthony Davis,(PG) Mario Chalmers,(PF) Marcus Morris"
8,29958737,"Kcannon",4,269.75,"(PG) Mario Chalmers,(SG) Victor Oladipo,(SF) Shawne Williams,(PF) Nerlens Noel,(C) Nikola Vucevic,(PF) Anthony Davis,(SG) Danny Green,(SG) Jimmy Butler"
9,30023256,"EmpireMaker2",0,269.00,"(PG) Kyrie Irving,(SG) Victor Oladipo,(SF) Shawne Williams,(PF) Marcus Morris,(C) Chris Bosh,(SF) Jeff Green,(PG) Mario Chalmers,(PG) Ty Lawson"
10,29950270,"jpreuss2",0,266.00,"(PG) Rajon Rondo,(SG) Arron Afflalo,(SF) Caron Butler,(PF) Kevin Love,(C) Nikola Vucevic,(PF) LaMarcus Aldridge,(PG) Norris Cole,(PF) Nerlens Noel"
11,29932261,"Talapia69",0,265.75,"(PG) Rajon Rondo,(SG) Victor Oladipo,(SF) Shawne Williams,(PF) Nerlens Noel,(C) Nikola Vucevic,(PF) Anthony Davis,(PG) Mario Chalmers,(SG) Kentavious Caldwell-Pope"
12,29959757,"eppy12588",4,264.00,"(PG) Mario Chalmers,(SG) Jimmy Butler,(SF) Shawne Williams,(PF) Nerlens Noel,(C) Nikola Vucevic,(PF) Anthony Davis,(SG) Victor Oladipo,(SG) Avery Bradley"
12,30043896,"eppy12588",4,264.00,"(PG) Mario Chalmers,(SG) Jimmy Butler,(SF) Shawne Williams,(PF) Nerlens Noel,(C) Nikola Vucevic,(PF) Anthony Davis,(SG) Victor Oladipo,(SG) Avery Bradley"
14,30054047,"TeeJayOrTj",0,263.50,"(PG) Ty Lawson,(SG) Victor Oladipo,(SF) Shawne Williams,(PF) Jared Sullinger,(C) Nikola Vucevic,(PF) Nerlens Noel,(PG) Rajon Rondo,(PG) Mario Chalmers"
15,30012638,"Brambo300",0,260.50,"(PG) Rajon Rondo,(SG) Danny Green,(SF) Danny Granger,(PF) Anthony Davis,(C) Nikola Vucevic,(PF) Nerlens Noel,(PG) Mario Chalmers,(SG) Lance Stephenson"
16,30057359,"Mtom347",4,260.00,"(PG) Rajon Rondo,(SG) Victor Oladipo,(SF) Shawne Williams,(PF) Nerlens Noel,(C) Joakim Noah,(PF) Anthony Davis,(SG) Avery Bradley,(PG) Mario Chalmers"
17,30003891,"Scuba3321",4,254.50,"(PG) Kirk Hinrich,(SG) Victor Oladipo,(SF) Wilson Chandler,(PF) Anthony Davis,(C) Anderson Varejao,(PF) Channing Frye,(PG) Mario Chalmers,(PG) Damian Lillard"
18,30011131,"LWally9",0,253.25,"(PG) Rajon Rondo,(SG) Tyreke Evans,(SF) Shawne Williams,(PF) Nerlens Noel,(C) Brook Lopez,(PF) Anthony Davis,(PG) Mario Chalmers,(PF) Marcus Morris"
19,29953782,"MakeItRain84",4,253.00,"(PG) Cory Joseph,(SG) Danny Green,(SF) Kawhi Leonard,(PF) Nerlens Noel,(C) Nikola Vucevic,(PF) Blake Griffin,(PG) Mario Chalmers,(PF) Kevin Love"
20,30038509,"Shyam",4,251.75,"(PG) Ty Lawson,(SG) Gerald Henderson,(SF) Shawne Williams,(PF) Nerlens Noel,(C) Anderson Varejao,(PF) Kevin Love,(SG) Jimmy Butler,(PF) Anthony Davis"
21,30059451,"jek240",8,250.75,"(PG) Aaron Brooks,(SG) Victor Oladipo,(SF) Shawne Williams,(PF) Taj Gibson,(C) Nikola Vucevic,(PF) Kevin Love,(PG) Rajon Rondo,(PG) Mario Chalmers"
22,29947728,"violator",8,249.50,"(PG) Kirk Hinrich,(SG) Jimmy Butler,(SF) Shawne Williams,(PF) Nerlens Noel,(C) Robin Lopez,(PF) Anthony Davis,(SG) Victor Oladipo,(PG) Kyrie Irving"
23,29953322,"MakeItRain84",4,248.75,"(PG) Cory Joseph,(SG) Gerald Henderson,(SF) Kawhi Leonard,(PF) Nerlens Noel,(C) Nikola Vucevic,(PF) Kevin Love,(PG) Michael Carter-Williams,(PF) Blake Griffin"
24,29948324,"Kaetorade",0,247.00,"(PG) Mario Chalmers,(SG) Eric Bledsoe,(SF) Shawne Williams,(PF) Anthony Davis,(C) Chris Bosh,(PF) Channing Frye,(SG) Gerald Green,(SG) Danny Green"
