"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup"
1,29999592,"cheddabisque",0,280.75,"(PG) Kyrie Irving,(SG) Avery Bradley,(SF) Shawn Marion,(PF) Markieff Morris,(C) Chris Bosh,(PF) Nerlens Noel,(SG) Jamal Crawford,(PF) Anthony Davis"
2,29942886,"CONDIA",0,279.25,"(PG) Mario Chalmers,(SG) Gerald Henderson,(SF) Shawne Williams,(PF) Kevin Love,(C) Nikola Vucevic,(SF) Kawhi Leonard,(PG) Damian Lillard,(PF) Taj Gibson"
3,30001958,"IIDzNuTzII",0,278.50,"(PG) Mario Chalmers,(SG) Dion Waiters,(SF) Shawne Williams,(PF) Nerlens Noel,(C) Andre Drummond,(PF) Anthony Davis,(PG) Rajon Rondo,(SG) Jimmy Butler"
4,30043898,"eppy12588",0,271.75,"(PG) Mario Chalmers,(SG) Jimmy Butler,(SF) Shawne Williams,(PF) Nerlens Noel,(C) Nikola Vucevic,(PF) Anthony Davis,(SG) Victor Oladipo,(SG) Avery Bradley"
5,30023262,"EmpireMaker2",0,269.00,"(PG) Kyrie Irving,(SG) Victor Oladipo,(SF) Shawne Williams,(PF) Marcus Morris,(C) Chris Bosh,(SF) Jeff Green,(PG) Mario Chalmers,(PG) Ty Lawson"
6,30030122,"Kobe4MVP",0,264.50,"(PG) Rajon Rondo,(SG) Kentavious Caldwell-Pope,(SF) Tobias Harris,(PF) Nerlens Noel,(C) Al Jefferson,(PF) Markieff Morris,(PG) Mario Chalmers,(C) Chris Bosh"
7,29961109,"clearcuttension",0,262.50,"(PG) Aaron Brooks,(SG) Arron Afflalo,(SF) Shawne Williams,(PF) Nerlens Noel,(C) Nikola Vucevic,(PF) Anthony Davis,(SG) Jimmy Butler,(SF) Kawhi Leonard"
8,29948169,"atctexas",0,261.50,"(PG) Goran Dragic,(SG) Victor Oladipo,(SF) Jeff Green,(PF) Anthony Davis,(C) Kelly Olynyk,(PF) Nerlens Noel,(SG) Gerald Henderson,(PG) Damian Lillard"
9,29995341,"Nookx",0,254.75,"(PG) Mario Chalmers,(SG) Jimmy Butler,(SF) Shawne Williams,(PF) Nerlens Noel,(C) Kelly Olynyk,(PF) Anthony Davis,(PG) Rajon Rondo,(PF) Marcus Morris"
10,29951705,"Makisupa",0,252.50,"(PG) Mario Chalmers,(SG) Tyreke Evans,(SF) Kawhi Leonard,(PF) Nerlens Noel,(C) Kelly Olynyk,(PF) Markieff Morris,(PG) Rajon Rondo,(SF) Jeff Green"
11,29953325,"MakeItRain84",0,248.75,"(PG) Cory Joseph,(SG) Gerald Henderson,(SF) Kawhi Leonard,(PF) Nerlens Noel,(C) Nikola Vucevic,(PF) Kevin Love,(PG) Michael Carter-Williams,(PF) Blake Griffin"
12,30003858,"absolutbronx",0,248.25,"(PG) Kyrie Irving,(SG) Lance Stephenson,(SF) Shawne Williams,(PF) Nerlens Noel,(C) Robin Lopez,(PF) Anthony Davis,(SG) James Ennis,(PG) Rajon Rondo"
13,30028470,"iownYU",0,248.00,"(PG) Mario Chalmers,(SG) Jimmy Butler,(SF) Donatas Motiejunas,(PF) Anthony Davis,(C) Kelly Olynyk,(PF) Nerlens Noel,(SG) Arron Afflalo,(PG) Rajon Rondo"
14,29948340,"Kaetorade",0,247.00,"(PG) Mario Chalmers,(SG) Eric Bledsoe,(SF) Shawne Williams,(PF) Anthony Davis,(C) Chris Bosh,(PF) Channing Frye,(SG) Gerald Green,(SG) Danny Green"
15,29987370,"DraftCheat",0,246.75,"(PG) Mario Chalmers,(SG) Victor Oladipo,(SF) Shawne Williams,(PF) Channing Frye,(C) Nikola Vucevic,(SF) Jeff Green,(PG) Rajon Rondo,(PG) Tony Wroten"
16,30042119,"bribb",0,245.50,"(PG) Mario Chalmers,(SG) Victor Oladipo,(SF) Shawne Williams,(PF) Anthony Davis,(C) Tyson Chandler,(PF) Nerlens Noel,(PG) Rajon Rondo,(PF) Ryan Anderson"
17,29982179,"FantasyExperts216",0,244.25,"(PG) Rajon Rondo,(SG) Jimmy Butler,(SF) Kawhi Leonard,(PF) Nerlens Noel,(C) Brook Lopez,(SF) Jeff Green,(SG) Tyreke Evans,(SG) Dion Waiters"
17,30043180,"2stupiddogs",0,244.25,"(PG) Rajon Rondo,(SG) Avery Bradley,(SF) Donatas Motiejunas,(PF) Nerlens Noel,(C) Tyson Chandler,(SF) Kawhi Leonard,(PG) Mario Chalmers,(PF) Anthony Davis"
19,30047762,"UNCLE-LEO",0,239.25,"(PG) Rajon Rondo,(SG) Victor Oladipo,(SF) Jeff Green,(PF) Jared Sullinger,(C) Kelly Olynyk,(PF) Nerlens Noel,(PG) Mario Chalmers,(SG) Jimmy Butler"
20,30022039,"CSURAM88",0,238.25,"(PG) Kyrie Irving,(SG) Victor Oladipo,(SF) Shawne Williams,(PF) Nerlens Noel,(C) Anderson Varejao,(PF) Anthony Davis,(PG) Mario Chalmers,(SG) Tyreke Evans"
21,30010730,"thalooch",0,236.00,"(PG) Mario Chalmers,(SG) Victor Oladipo,(SF) Shawne Williams,(PF) Nerlens Noel,(C) Miles Plumlee,(PF) Anthony Davis,(PG) Rajon Rondo,(SG) Tyreke Evans"
21,30017359,"BirdWings",0,236.00,"(PG) Mario Chalmers,(SG) Victor Oladipo,(SF) Shawne Williams,(PF) Nerlens Noel,(C) Miles Plumlee,(PF) Anthony Davis,(PG) Rajon Rondo,(SG) Tyreke Evans"
23,30033858,"g123",0,233.75,"(PG) Mario Chalmers,(SG) Danny Green,(SF) Kawhi Leonard,(PF) Nerlens Noel,(C) Chris Bosh,(SF) Jeff Green,(PG) Brandon Jennings,(C) Al Jefferson"
24,29934164,"novice1",0,233.25,"(PG) Ty Lawson,(SG) Kentavious Caldwell-Pope,(SF) Wilson Chandler,(PF) Nerlens Noel,(C) Tyson Chandler,(SF) LeBron James,(PG) Rajon Rondo,(SF) Donatas Motiejunas"
25,30011650,"youdacao",0,232.00,"(PG) Ty Lawson,(SG) Victor Oladipo,(SF) Shawne Williams,(PF) Nerlens Noel,(C) Nikola Vucevic,(PF) Greg Monroe,(PG) Mario Chalmers,(C) Chris Bosh"
26,30003982,"Scuba3321",0,227.75,"(PG) Mario Chalmers,(SG) Victor Oladipo,(SF) Wilson Chandler,(PF) Kenneth Faried,(C) Chris Bosh,(SF) Mike Dunleavy,(SG) Lance Stephenson,(PG) Rajon Rondo"
27,30007063,"terribad",0,225.75,"(PG) Rajon Rondo,(SG) Victor Oladipo,(SF) Shawne Williams,(PF) Nerlens Noel,(C) Kelly Olynyk,(PF) Anthony Davis,(PG) Mario Chalmers,(PF) Channing Frye"
28,29993930,"Gateman07",0,225.00,"(PG) Mario Chalmers,(SG) Victor Oladipo,(SF) Shawne Williams,(PF) Anthony Davis,(C) Kelly Olynyk,(PF) Nerlens Noel,(SG) Lance Stephenson,(C) Joakim Noah"
29,29988087,"dweill",0,224.00,"(PG) Ty Lawson,(SG) Victor Oladipo,(SF) Donatas Motiejunas,(PF) Ryan Anderson,(C) Chris Bosh,(PF) Nerlens Noel,(SG) Tyreke Evans,(C) Nikola Vucevic"
30,29937675,"LuckyPapa",0,223.00,"(PG) Mario Chalmers,(SG) Lance Stephenson,(SF) Mike Dunleavy,(PF) Nerlens Noel,(C) Kelly Olynyk,(PF) Kevin Love,(PG) Rajon Rondo,(PG) Brandon Jennings"
30,30019744,"Notorious",0,223.00,"(PG) Rajon Rondo,(SG) Victor Oladipo,(SF) Shawne Williams,(PF) Anthony Davis,(C) Kelly Olynyk,(PF) Nerlens Noel,(SG) Eric Bledsoe,(PG) Norris Cole"
32,29958080,"jigga_123us",0,222.50,"(PG) Ty Lawson,(SG) Victor Oladipo,(SF) Shawne Williams,(PF) Channing Frye,(C) Kelly Olynyk,(SF) Jeff Green,(SG) Tyreke Evans,(PG) Michael Carter-Williams"
32,30039798,"JustinCommand",0,222.50,"(PG) Aaron Brooks,(SG) Victor Oladipo,(SF) Wilson Chandler,(PF) Anthony Davis,(C) Anderson Varejao,(SF) Chandler Parsons,(PG) Patrick Beverley,(C) Chris Bosh"
34,29955082,"jrob11811",0,219.50,"(PG) Rajon Rondo,(SG) Victor Oladipo,(SF) Shawne Williams,(PF) Kevin Love,(C) Kelly Olynyk,(PF) Nerlens Noel,(PG) Mario Chalmers,(SG) Jimmy Butler"
35,29938039,"Warno",0,219.00,"(PG) Kyrie Irving,(SG) Victor Oladipo,(SF) Shawne Williams,(PF) Kevin Love,(C) Anderson Varejao,(PF) Nerlens Noel,(PG) Rajon Rondo,(SG) Eric Bledsoe"
36,30008622,"Al_Smizzle",0,217.75,"(PG) Mario Chalmers,(SG) Victor Oladipo,(SF) Shawne Williams,(PF) Kenneth Faried,(C) Kelly Olynyk,(PF) Nerlens Noel,(PG) Kyrie Irving,(PF) Anthony Davis"
37,30042949,"DMo11",0,207.25,"(PG) Kyrie Irving,(SG) Jimmy Butler,(SF) Kawhi Leonard,(PF) Jared Sullinger,(C) Kelly Olynyk,(SF) Josh Smith,(SG) James Ennis,(PF) Nerlens Noel"
