player,team,pos,salary,opp,gp,fppg,fpmax,fpmin,floor,ceil,%3x,%4x,%5x,%6x
Ty Lawson,DEN,PG,7500.00,@ NYK,7,32.89,50.25,9.5,21.48,44.3,0.86,0.86,0.29,0.14
Alonzo Gee,DEN,SF,3000.00,@ NYK,7,9.96,15.25,2.75,5.09,14.84,0.57,0.57,0.29,0
J.R. Smith,NYK,SG,4700.00,vs. DEN,9,19.81,29.5,11.75,14.12,25.49,0.78,0.44,0.22,0.11
Jeremy Lin,LAL,PG,6200.00,vs. GSW,9,24.94,38.25,9,15.86,34.03,0.78,0.44,0.33,0.11
Brandon Jennings,DET,PG,0,N/A,10,31.53,56.75,10.5,17.61,45.44,0,0,0,0
Danny Green,SAS,SG,0,N/A,9,19.64,31.5,8,12.89,26.39,0,0,0,0
Avery Bradley,BOS,PG,0,N/A,8,23.06,50,10,11.38,34.75,0,0,0,0
Sebastian Telfair,OKC,PG,3000.00,vs. HOU,10,17.33,31.25,3.5,7.65,27,0.7,0.6,0.6,0.5
Mario Chalmers,MIA,PG,5200.00,vs. MIL,9,23.58,41.25,10.75,13.32,33.84,0.67,0.56,0.33,0.22
Lance Stephenson,CHA,SG,0,N/A,10,30.33,41.25,14.25,21.21,39.44,0,0,0,0
Gary Neal,CHA,SG,0,N/A,10,20.43,33,7.75,12.3,28.55,0,0,0,0
Jannero Pargo,CHA,PG,0,N/A,2,5.38,8.75,2,2,8.75,0,0,0,0
A.J. Price,IND,PG,0,N/A,6,20.42,30.25,11,13.71,27.13,0,0,0,0
Mo Williams,MIN,PG,0,N/A,9,17,25.5,8.75,10.62,23.38,0,0,0,0
Manu Ginobili,SAS,SG,0,N/A,8,25.28,35,7.5,16.94,33.62,0,0,0,0
Dwyane Wade,MIA,SG,7400.00,vs. MIL,8,36.69,47.75,26.5,29.81,43.57,1,0.88,0.5,0.13
Ramon Sessions,SAC,PG,0,N/A,9,10.94,22.25,2.5,3.8,18.09,0,0,0,0
Tony Parker,SAS,PG,0,N/A,9,27.47,40.25,7.75,18.85,36.1,0,0,0,0
George Hill,IND,PG,0,N/A,1,0,0,0,0,0,0,0,0,0
Xavier Henry,LAL,SG,3000.00,vs. GSW,6,3,6.25,1.25,0.94,5.06,0,0,0,0
Arron Afflalo,DEN,SG,4200.00,@ NYK,8,18,24.25,8.25,11.24,24.76,0.63,0.63,0.63,0
Ricky Rubio,MIN,PG,0,N/A,6,27.25,46.5,0,11.92,42.58,0,0,0,0
Randy Foye,DEN,PG,3700.00,@ NYK,7,18.07,48,6.25,4.49,31.65,0.57,0.43,0.29,0.29
Jeff Teague,ATL,PG,0,N/A,9,31.17,51,12.5,17.07,45.27,0,0,0,0
Greivis Vasquez,TOR,PG,0,N/A,10,15.58,29,7.5,9.58,21.57,0,0,0,0
Wayne Ellington,LAL,SG,3000.00,vs. GSW,6,12.21,17.25,0,6.17,18.25,0.83,0.67,0.5,0
C.J. Watson,IND,PG,0,N/A,1,0,0,0,0,0,0,0,0,0
Gerald Henderson,CHA,SG,0,N/A,8,9.75,17.5,2,4.46,15.04,0,0,0,0
Marcus Thornton,BOS,SG,0,N/A,7,10.54,17,6.75,7.02,14.05,0,0,0,0
Jerryd Bayless,MIL,PG,3200.00,@ MIA,9,13.75,29.75,4,6.82,20.68,0.78,0.56,0.22,0.11
Willie Green,ORL,SG,0,N/A,7,5.18,9.5,2,2.74,7.62,0,0,0,0
Jarrett Jack,BKN,PG,0,N/A,9,18,29.75,8.5,11.78,24.22,0,0,0,0
Courtney Lee,MEM,SG,0,N/A,8,26.16,37.75,20.5,21.05,31.27,0,0,0,0
Shannon Brown,MIA,SG,3000.00,vs. MIL,3,2.42,6.25,0,-0.32,5.16,0,0,0,0
Steve Blake,POR,PG,0,N/A,10,15.45,25.25,0.25,8.34,22.56,0,0,0,0
J.J. Redick,LAC,SG,0,N/A,8,19.78,39,4.5,10.1,29.47,0,0,0,0
Eric Bledsoe,PHO,PG,0,N/A,10,29.95,49.75,9,17.21,42.69,0,0,0,0
Marco Belinelli,SAS,SG,0,N/A,4,10.94,24.5,0,0.74,21.13,0,0,0,0
Leandro Barbosa,GSW,PG,3000.00,@ LAL,9,14.61,18.25,8.25,11.32,17.91,0.89,0.78,0.67,0.11
Nate Robinson,DEN,PG,3000.00,@ NYK,8,10.84,24,4.5,4.74,16.95,0.5,0.38,0.25,0.13
James Harden,HOU,SG,10600.00,@ OKC,9,50.31,59,41,43.48,57.13,1,0.89,0.44,0
Goran Dragic,PHO,PG,0,N/A,10,24.68,36.25,12.75,16.46,32.89,0,0,0,0
Louis Williams,TOR,SG,0,N/A,10,14.98,22.5,8.75,10.04,19.91,0,0,0,0
Aaron Brooks,CHI,PG,0,N/A,10,19.18,39,-1.5,7.26,31.09,0,0,0,0
Luke Ridnour,ORL,PG,0,N/A,10,13.88,25.5,5,7.38,20.37,0,0,0,0
Jameer Nelson,DAL,PG,0,N/A,10,16.93,22,10,13.19,20.66,0,0,0,0
Beno Udrih,MEM,PG,0,N/A,10,12.3,22.75,4.25,6.14,18.46,0,0,0,0
Rodney Stuckey,IND,SG,0,N/A,5,12.15,29.75,0,1.32,22.98,0,0,0,0
DeMar DeRozan,TOR,SG,0,N/A,10,33.6,44.25,16.25,25.26,41.94,0,0,0,0
O.J. Mayo,MIL,SG,3500.00,@ MIA,9,21.75,40.25,8.5,12.26,31.24,0.78,0.78,0.56,0.56
Kyle Lowry,TOR,PG,0,N/A,10,36,49.5,20.25,26.03,45.97,0,0,0,0
Kirk Hinrich,CHI,SG,0,N/A,10,17.75,29,6.75,10.15,25.35,0,0,0,0
Ben Gordon,ORL,SG,0,N/A,9,10.28,28.5,-0.5,2.23,18.32,0,0,0,0
Darren Collison,SAC,PG,0,N/A,9,33.17,43.5,26,27.05,39.28,0,0,0,0
Mike Conley,MEM,PG,0,N/A,10,31.1,48.25,15.5,22.17,40.03,0,0,0,0
Nick Young,LAL,SG,3500.00,vs. GSW,1,0,0,0,0,0,0,0,0,0
D.J. Augustin,DET,PG,0,N/A,10,17.3,32.25,8.75,9.98,24.62,0,0,0,0
Vince Carter,MEM,SG,0,N/A,10,11.03,24,0,4.25,17.8,0,0,0,0
Kevin Martin,MIN,SG,0,N/A,8,27.38,46.75,5,13.09,41.66,0,0,0,0
Jason Terry,HOU,SG,3300.00,@ OKC,9,14.94,24.5,8,9.4,20.49,0.78,0.56,0.33,0.22
Tyreke Evans,NOP,SF,0,N/A,8,37.94,55,27.5,29.81,46.07,0,0,0,0
Jose Calderon,NYK,PG,5500.00,vs. DEN,1,0,0,0,0,0,0,0,0,0
Andre Miller,WAS,PG,0,N/A,9,10.17,20.75,1.5,3.65,16.68,0,0,0,0
Jrue Holiday,NOP,PG,0,N/A,8,33.28,46.25,21.75,24.81,41.75,0,0,0,0
Jamal Crawford,LAC,SG,0,N/A,7,26,33.5,15.5,18.89,33.11,0,0,0,0
Devin Harris,DAL,PG,0,N/A,10,21.65,29,9.25,15.77,27.53,0,0,0,0
Eric Gordon,NOP,SG,0,N/A,7,19.21,24.75,11.25,14.89,23.54,0,0,0,0
Raymond Felton,DAL,PG,0,N/A,1,0,0,0,0,0,0,0,0,0
Stephen Curry,GSW,PG,10500.00,@ LAL,9,46.69,61.25,28.25,35.16,58.23,0.89,0.56,0.44,0
Deron Williams,BKN,PG,0,N/A,9,33.75,40.75,27,29.39,38.11,0,0,0,0
Kobe Bryant,LAL,SG,8700.00,vs. GSW,9,41.14,55.75,27,31.16,51.12,1,0.78,0.44,0.22
Joe Johnson,BKN,SG,0,N/A,9,34.08,54.5,26.25,26.14,42.03,0,0,0,0
Russell Westbrook,OKC,PG,0,N/A,2,32.38,56.25,8.5,8.5,56.25,0,0,0,0
John Wall,WAS,PG,0,N/A,9,43.14,61,21.25,29,57.28,0,0,0,0
Rajon Rondo,BOS,PG,0,N/A,8,36.97,56.25,0,20.46,53.48,0,0,0,0
Derrick Rose,CHI,PG,0,N/A,6,25.5,38.5,0,13.47,37.53,0,0,0,0
Chris Paul,LAC,PG,0,N/A,8,46.94,56.75,35,40.17,53.71,0,0,0,0
Monta Ellis,DAL,SG,0,N/A,10,30.6,41,20.25,25.01,36.19,0,0,0,0
Carmelo Anthony,NYK,SF,9800.00,vs. DEN,10,36.85,57.75,24.5,28.04,45.66,0.8,0.3,0.1,0
Chris Bosh,MIA,C,8500.00,vs. MIL,9,40.83,56.25,23.5,32.09,49.58,0.89,0.89,0.44,0.11
Jonas Jerebko,DET,PF,0,N/A,8,11.63,24,6.75,5.81,17.44,0,0,0,0
Caron Butler,DET,SF,0,N/A,10,14.88,35.5,9.25,6.86,22.89,0,0,0,0
Tim Duncan,SAS,PF,0,N/A,8,37.63,58.75,27,28.63,46.63,0,0,0,0
Brandan Wright,DAL,PF,0,N/A,10,18.68,26.25,6,12.37,24.98,0,0,0,0
Trevor Booker,UTA,PF,0,N/A,11,16.61,31.25,7.25,9.72,23.5,0,0,0,0
Mike Miller,CLE,SF,0,N/A,7,4.11,7.5,1.25,1.58,6.63,0,0,0,0
Steve Novak,UTA,SF,0,N/A,4,4.31,8.25,1.25,1.72,6.9,0,0,0,0
Reggie Evans,SAC,PF,0,N/A,9,12.06,25.5,3.5,6.09,18.02,0,0,0,0
James Jones,CLE,SF,0,N/A,1,4.75,4.75,4.75,4.75,4.75,0,0,0,0
DeMarre Carroll,ATL,SF,0,N/A,6,24.83,28.75,14.75,19.98,29.69,0,0,0,0
Matt Barnes,LAC,SF,0,N/A,8,12.5,18.75,4,7.62,17.38,0,0,0,0
