"collection1"
"player","team","fppg","max","min","range","stdev"
"DeMarcus Cousins","SAC","43.1","59.4","15.5","43.9","11"
"Al Jefferson","CHA","39","71.6","16.3","55.3","11.3"
"Dwight Howard","HOU","37.8","68.3","12.2","56.1","11.2"
"Joakim Noah","CHI","36.7","62.2","11.8","50.4","10.8"
"Pau Gasol","LAL","36.2","59.4","17.5","41.9","8.9"
"Al Horford","ATL","34.5","57","16.4","40.6","9.5"
"DeAndre Jordan","LAC","34.1","54.1","13.4","40.7","8.6"
"Brook Lopez","BRK","33.8","48.4","18.9","29.5","7.3"
"Andre Drummond","DET","33.3","68.8","6.6","62.2","11.4"
"Nikola Vucevic","ORL","31.8","59.7","9.2","50.5","11"
"Nikola Pekovic","MIN","30.6","52.3","1.2","51.1","8.9"
"Marc Gasol","MEM","30.1","50.6","4","46.6","9.6"
"DeMarcus Cousins","","","","","",""
"Al Jefferson","","","","","",""
"Dwight Howard","","","","","",""
"Spencer Hawes","PHI","29.8","46.1","3.9","42.2","9.8"
"Joakim Noah","","","","","",""
"Pau Gasol","","","","","",""
"Al Horford","","","","","",""
"DeAndre Jordan","","","","","",""
"Brook Lopez","","","","","",""
"Andre Drummond","","","","","",""
"Nikola Vucevic","","","","","",""
"Marcin Gortat","WAS","29","53.9","12","41.9","8.3"
"Nikola Pekovic","","","","","",""
"Marc Gasol","","","","","",""
"Spencer Hawes","","","","","",""
"Marcin Gortat","","","","","",""
"Derrick Favors","","","","","",""
"Chris Bosh","","","","","",""
"Anderson Varejao","","","","","",""
"Derrick Favors","UTA","28.5","54.6","3.2","51.4","9.1"
"Tyson Chandler","","","","","",""
"Jared Sullinger","","","","","",""
"Andrew Bogut","","","","","",""
"J.“J. Hickson","","","","","",""
"Roy Hibbert","","","","","",""
"Robin Lopez","","","","","",""
"Markieff Morris","","","","","",""
"Chris Bosh","MIA","28.5","52.5","8.6","43.9","8.6"
"Andrea Bargnani","","","","","",""
"Jonas Valanciunas","","","","","",""
"Larry Sanders","","","","","",""
"Miles Plumlee","","","","","",""
"Enes Kanter","","","","","",""
"Jason Smith","","","","","",""
"Chris Kaman","","","","","",""
"Anderson Varejao","CLE","26.7","53.5","7.6","45.9","10.5"
"Tiago Splitter","","","","","",""
"Boris Diaw","","","","","",""
"Zaza Pachulia","","","","","",""
"Timofey Mozgov","","","","","",""
"Andrew Bynum","","","","","",""
"Brandan Wright","","","","","",""
"Kosta Koufos","","","","","",""
"Tyson Chandler","NYK","26.4","44.1","0.2","43.9","9.6"
"Ronny Turiaf","","","","","",""
"Chris Andersen","","","","","",""
"Jermaine O’Neal","","","","","",""
"Elton Brand","","","","","",""
"Kyle O’Quinn","","","","","",""
"DeJuan Blair","","","","","",""
"Mason Plumlee","","","","","",""
"Jared Sullinger","BOS","26.1","59","5.6","53.4","10.3"
"Pero Antic","","","","","",""
"Henry Sims","","","","","",""
"Lavoy Allen","","","","","",""
"Omer Asik","","","","","",""
"Gustavo Ayon","","","","","",""
"Alexis Ajinca","","","","","",""
"Kendrick Perkins","","","","","",""
"Andrew Bogut","GSW","26.1","52.9","7.2","45.7","8.3"
"Tyler Zeller","","","","","",""
"Bismack Biyombo","","","","","",""
"Robert Sacre","","","","","",""
"Donatas Motiejunas","","","","","",""
"Greg Stiemsma","","","","","",""
"Steven Adams","","","","","",""
"Marreese Speights","","","","","",""
"J.“J. Hickson","DEN","26","47.5","7.4","40.1","9.8"
"Vitor Faverani","","","","","",""
"Ian Mahinmi","","","","","",""
"Joel Freeland","","","","","",""
"Kevin Seraphin","","","","","",""
"Rudy Gobert","","","","","",""
"JaVale McGee","","","","","",""
"Jason Maxiell","","","","","",""
"Roy Hibbert","IND","25.3","54.1","5","49.1","10"
"Gorgui Dieng","","","","","",""
"Miroslav Raduljica","","","","","",""
"Chuck Hayes","","","","","",""
"Meyers Leonard","","","","","",""
"Byron Mullens","","","","","",""
"Greg Smith","","","","","",""
"Aron Baynes","","","","","",""
"Robin Lopez","POR","25","45.1","10","35.1","8.3"
"Jeff Withey","","","","","",""
"Dewayne Dedmon","","","","","",""
"Alex Len","","","","","",""
"Aaron Gray","","","","","",""
"Nazr Mohammed","","","","","",""
"Cole Aldrich","","","","","",""
"Ryan Hollins","","","","","",""
