"collection1"
"player","team","max","min","range","stdev"
"Kevin Durant","OKC","76","30.5","45.5","11"
"Kevin Love","MIN","74.8","25.4","49.4","10"
"LeBron James","MIA","67.1","23.9","43.2","9.2"
"Anthony Davis","NOP","77.8","10.8","67","12.9"
"Carmelo Anthony","NYK","77.6","23.9","53.7","9.4"
"LaMarcus Aldridge","POR","69.1","18.3","50.8","11.1"
"Blake Griffin","LAC","66","20.5","45.5","9"
"Paul George","IND","60","8.9","51.1","10.1"
"Paul Millsap","ATL","59","14","45","10.2"
"Tim Duncan","SAS","58.7","13.2","45.5","9.6"
"Dirk Nowitzki","DAL","60.9","19.1","41.8","8.9"
"Rudy Gay","SAC","57.4","4","53.4","11.9"
"Josh Smith","DET","63.1","7","56.1","11.3"
"David Lee","GSW","50.3","12.6","37.7","8.3"
"Zach Randolph","MEM","51","1.5","49.5","10.1"
"Thaddeus Young","PHI","63.6","7.9","55.7","11.2"
"Serge Ibaka","OKC","48.5","11.9","36.6","8.3"
"Greg Monroe","DET","50.5","5.7","44.8","9.5"
"Nicolas Batum","POR","52","9.6","42.4","8.4"
"Chandler Parsons","HOU","56.5","2.9","53.6","9.6"
"Ryan Anderson","NOP","44.2","15.2","29","7.3"
"Kevin Durant","","","","",""
"Luol Deng","CLE","50.7","9.2","41.5","9.7"
"Kevin Love","","","","",""
"LeBron James","","","","",""
"Anthony Davis","","","","",""
"Carmelo Anthony","","","","",""
"LaMarcus Aldridge","","","","",""
"Blake Griffin","","","","",""
"Arron Afflalo","ORL","58.7","4.8","54","9.3"
"Paul George","","","","",""
"Paul Millsap","","","","",""
"Tim Duncan","","","","",""
"Dirk Nowitzki","","","","",""
"Rudy Gay","","","","",""
"Josh Smith","","","","",""
"Trevor Ariza","WAS","55.7","6.7","49","10.6"
"David Lee","","","","",""
"Zach Randolph","","","","",""
"Thaddeus Young","","","","",""
"Serge Ibaka","","","","",""
"Greg Monroe","","","","",""
"Nicolas Batum","","","","",""
"Nene Hilario","WAS","46.3","5.4","40.9","8.8"
"Chandler Parsons","","","","",""
"Ryan Anderson","","","","",""
"Luol Deng","","","","",""
"Arron Afflalo","","","","",""
"Trevor Ariza","","","","",""
"Nene Hilario","","","","",""
"David West","IND","46.9","5.4","41.5","8.5"
"David West","","","","",""
"Tyreke Evans","","","","",""
"Carlos Boozer","","","","",""
"Evan Turner","","","","",""
"Tobias Harris","","","","",""
"Kawhi Leonard","","","","",""
"Tyreke Evans","NOP","54.2","-2","56.2","11.9"
"Jeff Green","","","","",""
"Kenneth Faried","","","","",""
"Terrence Jones","","","","",""
"John Henson","","","","",""
"Taj Gibson","","","","",""
"Tristan Thompson","","","","",""
"Carlos Boozer","CHI","48.3","7","41.3","8.6"
"Andre Iguodala","","","","",""
"Wilson Chandler","","","","",""
"Amir Johnson","","","","",""
"Paul Pierce","","","","",""
"Shawn Marion","","","","",""
"DeMarre Carroll","","","","",""
"Evan Turner","PHI","48","5.1","42.9","11.5"
"Nick Young","","","","",""
"Josh McRoberts","","","","",""
"Channing Frye","","","","",""
"P.“J. Tucker","","","","",""
"Ersan Ilyasova","","","","",""
"Andray Blatche","","","","",""
"Tobias Harris","ORL","55","6.2","48.8","10.2"
"Vince Carter","","","","",""
"Khris Middleton","","","","",""
"Brandon Bass","","","","",""
"Glen Davis","","","","",""
"Mike Dunleavy","","","","",""
"Corey Brewer","","","","",""
"Kawhi Leonard","SAS","46.5","5.7","40.8","8.1"
"Al-Farouq Aminu","","","","",""
"Patrick Patterson","","","","",""
"Jordan Hill","","","","",""
"Kevin Garnett","","","","",""
"Caron Butler","","","","",""
"Marvin Williams","","","","",""
"Jeff Green","BOS","58.3","7.2","51.1","9.5"
"Wesley Johnson","","","","",""
"Kris Humphries","","","","",""
"Matt Barnes","","","","",""
"Marcus Morris","","","","",""
"James Johnson","","","","",""
"Draymond Green","","","","",""
"Kenneth Faried","DEN","56.6","3.5","53.1","11.2"
"Harrison Barnes","","","","",""
"Terrence Ross","","","","",""
"Giannis Antetokounmpo","","","","",""
"Jason Thompson","","","","",""
"Kyle Singler","","","","",""
"Michael Kidd-Gilchrist","","","","",""
"Terrence Jones","HOU","56.7","0","56.7","12.7"
"Richard Jefferson","","","","",""
"Derrick Williams","","","","",""
"Mike Scott","","","","",""
"Ryan Kelly","","","","",""
"Trevor Booker","","","","",""
"Jeremy Evans","","","","",""
"John Henson","MIL","59.8","6.8","53","9.6"
"Shawne Williams","","","","",""
"Dante Cunningham","","","","",""
"Michael Beasley","","","","",""
"Luis Scola","","","","",""
"Danny Granger","","","","",""
"Mirza Teletovic","","","","",""
"Taj Gibson","CHI","53.6","7.4","46.2","9.4"
"Gerald Wallace","","","","",""
"Omri Casspi","","","","",""
"Jordan Hamilton","","","","",""
"Kenyon Martin","","","","",""
"Cody Zeller","","","","",""
"Andrei Kirilenko","","","","",""
"Tristan Thompson","CLE","47.7","3.3","44.5","9.7"
"Jeff Adrien","","","","",""
"Jared Dudley","","","","",""
"Ed Davis","","","","",""
"Jon Leuer","","","","",""
"Alan Anderson","","","","",""
"Tayshaun Prince","","","","",""
"Andre Iguodala","GSW","47.1","4","43.1","9.3"
"Darrell Arthur","","","","",""
"John Salmons","","","","",""
"Tyler Hansbrough","","","","",""
"Hollis Thompson","","","","",""
"Francisco Garcia","","","","",""
"Jeff Taylor","","","","",""
"Wilson Chandler","DEN","37.7","6.5","31.2","7.8"
"Chris Douglas-Roberts","","","","",""
"Reggie Evans","","","","",""
"Anthony Randolph","","","","",""
"Nick Collison","","","","",""
"Ekpe Udoh","","","","",""
"Thomas Robinson","","","","",""
"Amir Johnson","TOR","57","2.6","54.4","10.3"
"Anthony Tolliver","","","","",""
"Andrew Nicholson","","","","",""
"Jae Crowder","","","","",""
"Dorell Wright","","","","",""
"Shane Battier","","","","",""
"Al Harrington","","","","",""
"Paul Pierce","BRK","46.2","2","44.2","8.9"
"Jan Vesely","","","","",""
"Chase Budinger","","","","",""
"Earl Clark","","","","",""
"Rashard Lewis","","","","",""
"Antawn Jamison","","","","",""
"Quincy Acy","","","","",""
"Shawn Marion","DAL","47.7","5.6","42.1","9.2"
"Jeremy Tyler","","","","",""
"Cartier Martin","","","","",""
"Cartier Martin","","","","",""
"Quincy Miller","","","","",""
"Carl Landry","","","","",""
"Anthony Bennett","","","","",""
"DeMarre Carroll","ATL","41.4","5.6","35.8","8.1"
"Charlie Villanueva","","","","",""
"Mike Harris","","","","",""
"Alonzo Gee","","","","",""
"Nick Young","LAL","38.5","3.6","34.9","7.3"
"Josh McRoberts","CHA","37.7","4.7","33","7"
"Channing Frye","PHX","44.8","4.2","40.6","8.5"
"P.“J. Tucker","PHX","41","4.4","36.6","8.5"
"Ersan Ilyasova","MIL","43.8","4.8","39","9.6"
"Andray Blatche","BRK","45.6","4.2","41.4","10.6"
"Vince Carter","DAL","41.7","4.2","37.5","7.1"
"Khris Middleton","MIL","45","0.5","44.5","9.9"
"Brandon Bass","BOS","39.9","5.6","34.3","8.2"
"Glen Davis","ORL","41.1","0.7","40.4","10.5"
"Mike Dunleavy","CHI","40.9","3.9","37","8.4"
"Corey Brewer","MIN","39.4","1","38.4","8.6"
"Al-Farouq Aminu","NOP","45.7","5.9","39.8","8.1"
"Patrick Patterson","TOR","35.9","2","33.9","7.8"
"Jordan Hill","LAL","44","1.2","42.8","10.8"
"Kevin Garnett","BRK","33.4","2.2","31.2","6.4"
"Caron Butler","MIL","54.1","2.7","51.4","11.2"
"Marvin Williams","UTA","36.6","2.7","33.9","9.3"
"Wesley Johnson","LAL","41.2","-1","42.2","9.5"
"Kris Humphries","BOS","43.5","0","43.5","11.3"
"Matt Barnes","LAC","43.9","3.8","40.1","8.9"
"Marcus Morris","PHX","34.2","-1","35.2","7.4"
"James Johnson","MEM","45.7","0","45.7","10.8"
"Draymond Green","GSW","39","0.5","38.5","7.5"
