"collection1"
"player","team","fppg","max","min","range","stdev"
"Chris Paul","LAC","44.1","72.9","25.4","47.5","10.5"
"Stephen Curry","GSW","41.2","63.7","11.1","52.6","11.3"
"John Wall","WAS","39.2","58.2","12.1","46.1","9.8"
"Russell Westbrook","OKC","38.6","65.3","19.3","46.1","10.4"
"James Harden","HOU","38.6","72","10.4","61.6","12.4"
"Kyle Lowry","TOR","36.2","59.1","12.3","46.8","9.9"
"Kyrie Irving","CLE","36.2","60","10","50","10.9"
"Ty Lawson","DEN","35.8","56.9","6.4","50.5","8.9"
"DeMar DeRozan","TOR","34.9","60","17","43","10"
"Michael Carter-Williams","PHI","34.8","65.4","8.2","57.2","11.1"
"Goran Dragic","PHX","34","52.4","13.7","38.7","9.6"
"Damian Lillard","POR","33.8","59.6","14.5","45.1","10.5"
"Isaiah Thomas","SAC","33.4","50.8","4.9","45.9","9.7"
"Dwyane Wade","MIA","33.1","51","8.9","42.1","8.6"
"Monta Ellis","DAL","32.6","52.4","10.7","41.7","8.6"
"Kemba Walker","CHA","32.4","56","13","43","9.9"
"Jrue Holiday","NOP","32.4","60.9","14.3","46.6","11.4"
"Chris Paul","","","","","",""
"Stephen Curry","","","","","",""
"John Wall","","","","","",""
"Russell Westbrook","","","","","",""
"Eric Bledsoe","PHX","32.2","53.4","4","49.4","10.9"
"James Harden","","","","","",""
"Kyle Lowry","","","","","",""
"Kyrie Irving","","","","","",""
"Ty Lawson","","","","","",""
"DeMar DeRozan","","","","","",""
"Michael Carter-Williams","","","","","",""
"Goran Dragic","","","","","",""
"Brandon Jennings","DET","32","56.2","0.7","55.5","12"
"Damian Lillard","","","","","",""
"Isaiah Thomas","","","","","",""
"Dwyane Wade","","","","","",""
"Monta Ellis","","","","","",""
"Kemba Walker","","","","","",""
"Jrue Holiday","","","","","",""
"Eric Bledsoe","","","","","",""
"Gordon Hayward","UTA","31.7","62.7","7.3","55.4","10.6"
"Brandon Jennings","","","","","",""
"Gordon Hayward","","","","","",""
"Rajon Rondo","","","","","",""
"Mike Conley","","","","","",""
"Ricky Rubio","","","","","",""
"Jeff Teague","","","","","",""
"Brandon Knight","","","","","",""
"Rajon Rondo","BOS","31.3","46.4","11.1","35.3","10"
"Lance Stephenson","","","","","",""
"Tony Parker","","","","","",""
"Deron Williams","","","","","",""
"Bradley Beal","","","","","",""
"Kevin Martin","","","","","",""
"Jimmy Butler","","","","","",""
"Klay Thompson","","","","","",""
"Mike Conley","MEM","30.6","57.7","4.1","53.6","9.1"
"Wesley Matthews","","","","","",""
"Jamal Crawford","","","","","",""
"Jameer Nelson","","","","","",""
"Kobe Bryant","","","","","",""
"Kendall Marshall","","","","","",""
"Eric Gordon","","","","","",""
"Gerald Henderson","","","","","",""
"Ricky Rubio","MIN","29.8","64","14.8","49.2","9.8"
"Trey Burke","","","","","",""
"Reggie Jackson","","","","","",""
"Derrick Rose","","","","","",""
"Joe Johnson","","","","","",""
"Gerald Green","","","","","",""
"Raymond Felton","","","","","",""
"Manu Ginobili","","","","","",""
"Jeff Teague","ATL","29.8","58.6","9","49.6","11.1"
"Jose Calderon","","","","","",""
"Kyle Korver","","","","","",""
