player,team,fppg,max,min,range,stdev,stdev_perc
Chris Paul,LAC,44.1,72.9,25.4,47.5,10.5,0.238095238
Stephen Curry,GSW,41.2,63.7,11.1,52.6,11.3,0.274271845
John Wall,WAS,39.2,58.2,12.1,46.1,9.8,0.25
Russell Westbrook,OKC,38.6,65.3,19.3,46.1,10.4,0.269430052
James Harden,HOU,38.6,72,10.4,61.6,12.4,0.321243523
Kyle Lowry,TOR,36.2,59.1,12.3,46.8,9.9,0.273480663
Kyrie Irving,CLE,36.2,60,10,50,10.9,0.301104972
Ty Lawson,DEN,35.8,56.9,6.4,50.5,8.9,0.248603352
DeMar DeRozan,TOR,34.9,60,17,43,10,0.286532951
Michael Carter-Williams,PHI,34.8,65.4,8.2,57.2,11.1,0.318965517
Goran Dragic,PHX,34,52.4,13.7,38.7,9.6,0.282352941
Damian Lillard,POR,33.8,59.6,14.5,45.1,10.5,0.310650888
Isaiah Thomas,SAC,33.4,50.8,4.9,45.9,9.7,0.290419162
Dwyane Wade,MIA,33.1,51,8.9,42.1,8.6,0.259818731
Monta Ellis,DAL,32.6,52.4,10.7,41.7,8.6,0.263803681
Kemba Walker,CHA,32.4,56,13,43,9.9,0.305555556
Jrue Holiday,NOP,32.4,60.9,14.3,46.6,11.4,0.351851852
Eric Bledsoe,PHX,32.2,53.4,4,49.4,10.9,0.338509317
Gordon Hayward,UTA,31.7,62.7,7.3,55.4,10.6,0.334384858
Rajon Rondo,BOS,31.3,46.4,11.1,35.3,10,0.319488818
Mike Conley,MEM,30.6,57.7,4.1,53.6,9.1,0.297385621
Ricky Rubio,MIN,29.8,64,14.8,49.2,9.8,0.32885906
Jeff Teague,ATL,29.8,58.6,9,49.6,11.1,0.372483221
Brandon Knight,MIL,29,55.6,0.2,55.4,12.3,0.424137931
Lance Stephenson,IND,28.9,46.8,6.8,40,9.2,0.3183391
Tony Parker,SAS,28.6,49.9,7.5,42.4,8.7,0.304195804
Deron Williams,BRK,27.5,55.5,3.2,52.3,9.7,0.352727273
Bradley Beal,WAS,27.2,44.8,12.2,32.6,7.4,0.272058824
