player,team,pos,salary,opp,gp,fppg,fpmax,fpmin,floor,ceil,%3x,%4x,%5x,%6x
Ty Lawson,DEN,PG,7000.00,vs. POR,5,29.55,40.5,9.5,19.02,40.08,0.8,0.8,0.2,0
Alonzo Gee,DEN,SF,3000.00,vs. POR,5,9.9,15.25,2.75,5.03,14.77,0.6,0.6,0.2,0
J.R. Smith,NYK,SG,3900.00,vs. ORL,7,18.61,26.25,11.75,13.47,23.75,1,0.71,0.43,0.14
Jeremy Lin,LAL,PG,5500.00,@ NOP,7,23.64,38.25,9,13.81,33.48,0.86,0.57,0.29,0.29
Brandon Jennings,DET,PG,6000.00,@ WAS,7,26.18,35.5,10.5,16.51,35.85,0.71,0.57,0.57,0
Danny Green,SAS,SG,0,N/A,7,19.07,31.5,8,11.58,26.56,0,0,0,0
Avery Bradley,BOS,PG,4900.00,vs. OKC,6,22.38,50,10,9.25,35.5,0.83,0.33,0.33,0.17
Sebastian Telfair,OKC,PG,3100.00,@ BOS,8,19.78,31.25,4.75,10.69,28.88,0.75,0.75,0.63,0.63
Mario Chalmers,MIA,PG,4400.00,vs. IND,7,22.5,37.5,10.75,13.84,31.16,0.71,0.71,0.57,0.29
Lance Stephenson,CHA,SG,0,N/A,8,30.34,41.25,14.25,20.82,39.87,0,0,0,0
Gary Neal,CHA,SG,0,N/A,8,21.47,33,10.25,13.78,29.16,0,0,0,0
Jannero Pargo,CHA,PG,0,N/A,1,2,2,2,2,2,0,0,0,0
A.J. Price,IND,PG,3000.00,@ MIA,3,17.58,25.25,11,11.72,23.45,1,0.67,0.67,0.33
Mo Williams,MIN,PG,4100.00,vs. HOU,6,17.38,25.5,8.75,11.04,23.71,0.67,0.67,0.5,0.17
Manu Ginobili,SAS,SG,0,N/A,6,23.29,35,7.5,14.73,31.86,0,0,0,0
Dwyane Wade,MIA,SG,7800.00,vs. IND,7,37.14,47.75,26.5,29.9,44.38,1,0.57,0.57,0.14
Ramon Sessions,SAC,PG,0,N/A,7,12.07,22.25,2.5,4.38,19.76,0,0,0,0
Tony Parker,SAS,PG,0,N/A,7,28.25,40.25,7.75,18.62,37.88,0,0,0,0
Xavier Henry,LAL,SG,3000.00,@ NOP,4,2.81,6.25,1.5,0.82,4.81,0,0,0,0
Arron Afflalo,DEN,SG,4600.00,vs. POR,6,18.83,24.25,9.75,12.46,25.21,0.67,0.67,0.5,0
Ricky Rubio,MIN,PG,5500.00,vs. HOU,5,32.7,46.5,16.25,22.51,42.89,0.8,0.8,0.8,0.6
Randy Foye,DEN,PG,4000.00,vs. POR,6,20.04,48,8.5,6.33,33.75,0.5,0.33,0.33,0.33
Jeff Teague,ATL,PG,7000.00,vs. UTA,6,32.96,51,12.5,17.86,48.05,0.67,0.67,0.5,0.33
Greivis Vasquez,TOR,PG,0,N/A,8,16.47,29,7.5,10.12,22.82,0,0,0,0
Wayne Ellington,LAL,SG,3000.00,@ NOP,6,12.21,17.25,0,6.17,18.25,0.83,0.67,0.5,0
Gerald Henderson,CHA,SG,0,N/A,6,9.04,14.25,2,4.07,14.02,0,0,0,0
Marcus Thornton,BOS,SG,3000.00,vs. OKC,6,9.46,12.75,6.75,6.94,11.97,0.5,0.33,0,0
